idx,series,timepoint_hr,src,repair,dx,dy,ecc,q0x,q0y,q1x,q1y,q2x,q2y,q3x,q3y
189,COOH_S2,6.0,dots,kept,0.0,0.0,off,443.0535583496094,212.7857208251953,707.978515625,204.92703247070312,701.85498046875,454.06500244140625,460.4139099121094,462.3232727050781
19,COOH_S3,0.0,dots,kept,0.0,0.0,off,112.17794036865234,352.1018981933594,412.5810852050781,345.79052734375,411.3431396484375,639.818603515625,110.94000244140625,646.1300048828125
25,COOH_S3,0.0,dots,kept,0.0,0.0,ref,112.36515808105469,358.2262268066406,410.5307312011719,354.7318420410156,408.37420654296875,646.3270263671875,110.20864868164062,649.8214111328125
39,COOH_S3,0.5,dots,kept,0.0,0.0,off,91.27243041992188,339.5560607910156,396.71673583984375,336.1802673339844,395.14666748046875,635.2666625976562,89.70236206054688,638.6424560546875
53,COOH_S3,1.0,dots,kept,0.0,0.0,off,84.62769317626953,350.3108825683594,389.8243103027344,344.11712646484375,389.95989990234375,643.489990234375,84.76325225830078,649.6837158203125
67,COOH_S3,1.5,dots,kept,0.0,0.0,off,89.60869598388672,344.4347839355469,394.14178466796875,345.9253845214844,393.31805419921875,652.7755126953125,88.78494262695312,651.2849731445312
81,COOH_S3,2.0,dots,kept,0.0,0.0,off,87.36809539794922,345.53277587890625,394.0072326660156,339.6173400878906,394.4747314453125,639.1320190429688,87.8355941772461,645.0474853515625
95,COOH_S3,2.5,dots,kept,0.0,0.0,off,80.31818389892578,341.2727355957031,381.9140625,345.359375,382.528076171875,638.380126953125,81.29432678222656,644.48583984375
109,COOH_S3,3.0,dots,kept,0.0,0.0,off,76.91999816894531,329.5199890136719,381.5683898925781,336.508544921875,379.676025390625,631.948974609375,75.02764129638672,624.96044921875
123,COOH_S3,3.5,dots,kept,0.0,0.0,off,84.60192108154297,347.38201904296875,387.5708312988281,342.2541809082031,386.6739196777344,638.4537963867188,83.70500183105469,643.5816650390625
137,COOH_S3,4.0,dots,kept,0.0,0.0,off,68.88121032714844,349.0078430175781,375.8630065917969,343.28424072265625,376.2366943359375,641.2845458984375,69.2549057006836,647.0081787109375
151,COOH_S3,4.5,dots,kept,0.0,0.0,off,88.95577239990234,349.4076232910156,396.1007080078125,343.34027099609375,396.91644287109375,643.240234375,89.77153015136719,649.3075561523438
164,COOH_S3,5.0,dots,kept,0.0,0.0,off,96.18518829345703,337.2592468261719,401.9126892089844,344.44049072265625,397.92669677734375,643.8167724609375,92.35344696044922,645.748291015625
178,COOH_S3,5.5,dots,kept,0.0,0.0,off,85.0434799194336,332.4347839355469,391.524169921875,337.3011169433594,389.7885437011719,636.0870361328125,83.41868591308594,640.2197265625
192,COOH_S3,6.0,dots,kept,0.0,0.0,off,106.86206817626953,334.82757568359375,413.52142333984375,338.6000061035156,413.0508117675781,636.997314453125,106.39144134521484,633.2249145507812
21,COOH_control,0.0,colour,repaired,0.0,0.0,ref,95.10255432128906,329.7080078125,407.3089599609375,334.7767333984375,400.8974609375,634.2920532226562,89.69105529785156,629.2232666015625
27,COOH_control,0.0,dots,kept,0.0,0.0,off,110.4825210571289,322.2867126464844,409.3461608886719,327.1153869628906,402.9338073730469,633.3198852539062,104.07017517089844,628.4912109375
41,COOH_control,0.5,dots,kept,0.0,0.0,off,83.75555419921875,340.9333190917969,388.597412109375,357.9220886230469,380.39239501953125,661.4232177734375,75.5505599975586,644.4344482421875
55,COOH_control,1.0,dots,kept,0.0,0.0,off,77.34146118164062,336.8536682128906,382.39129638671875,350.8521728515625,378.244384765625,655.66064453125,73.19454193115234,641.662109375
