geometry,series,coating,arm,t,centroid_mag,d90_mag,nav_index
corners,PEG_S1,PEG,small,0.5,0.6902834151991906,1.5977737468771598,0.799597107204238
corners,PEG_S2,PEG,small,0.5,1.4589028113848563,3.771109540780796,0.5124407949506807
corners,COOH_L1,COOH,large,0.5,1.3886071292793052,3.7060537877323547,0.7108333168322706
corners,COOH_L2,COOH,large,0.5,1.299252484620047,3.783818384223919,0.7143413381114545
corners,COOH_S1,COOH,small,0.5,0.7716317249100192,1.7199031335517898,0.4624742956730387
corners,COOH_S2,COOH,small,0.5,0.7160761583222599,1.9052074383608013,0.6641653967302868
corners,PEG_L3,PEG,large,0.5,1.562557049375036,3.3120502753290375,0.6794916373844254
corners,PEG_S3,PEG,small,0.5,0.9525165739263863,1.8971225106678071,-0.43482745127088784
corners,COOH_L3,COOH,large,0.5,1.326636085101936,3.238806778521205,0.7563834162966449
corners,COOH_S3,COOH,small,0.5,0.9706998342802807,2.1737192558032374,0.22283274520487173
corners,PEG_control,PEG,control,0.5,1.0960307423812907,2.3334326311802105,0.024031487428289745
corners,COOH_control,COOH,control,0.5,0.7669038746895434,1.8492097656250004,0.045316472010313934
corners,PEG_L1,PEG,large,1.0,1.5403385656153312,3.8546484537948733,0.8295108191475783
corners,PEG_L2,PEG,large,1.0,1.3909746729570065,3.439418142494301,0.7991636147416343
corners,PEG_S1,PEG,small,1.0,0.6839723019652676,1.73829686594898,0.5552947996101214
corners,PEG_S2,PEG,small,1.0,1.4905871602193983,3.6507567445077886,0.5757001880582905
corners,COOH_L1,COOH,large,1.0,1.395086237673869,3.632423102901827,0.7902118670395841
corners,COOH_L2,COOH,large,1.0,1.331130085580903,3.623442269756781,0.8017868005580898
corners,COOH_S1,COOH,small,1.0,0.8120927960933517,1.9348546675101932,0.5014631103477819
corners,COOH_S2,COOH,small,1.0,0.8924665394246678,2.1121945195668017,0.8463040332690118
corners,PEG_L3,PEG,large,1.0,1.413252408212185,3.188617003492748,0.7719030045990729
corners,PEG_S3,PEG,small,1.0,0.945236796883827,1.887334862857913,-0.384564417660451
corners,COOH_L3,COOH,large,1.0,1.3667947567678578,3.2032811122862688,0.7304491357897878
corners,COOH_S3,COOH,small,1.0,0.816085298022897,2.0033081984669057,0.4386688295920432
corners,PEG_control,PEG,control,1.0,1.040875750216838,2.305324592131297,0.11299169451558481
corners,COOH_control,COOH,control,1.0,0.7799130325267659,1.776543540204323,-0.13979825909891977
corners,PEG_L1,PEG,large,1.5,1.5424076237734807,3.6182498201253988,0.9118330056979197
corners,PEG_L2,PEG,large,1.5,1.5433331608646097,3.51453887662497,0.8049289604780562
corners,PEG_S1,PEG,small,1.5,0.7945773560111011,1.8927694494109022,0.693600291907198
corners,PEG_S2,PEG,small,1.5,1.4779641219342203,3.6424431349568094,0.5564518760847863
corners,COOH_L1,COOH,large,1.5,1.4876677512269916,3.559600208616548,0.821180519100977
corners,COOH_L2,COOH,large,1.5,1.4394349028527453,3.428299887751129,0.8646182384655501
corners,COOH_S1,COOH,small,1.5,0.9511873908283448,2.4850326664252527,0.47578639076257384
corners,COOH_S2,COOH,small,1.5,0.9460752952461062,2.4538008754878478,0.6971105396229699
corners,PEG_L3,PEG,large,1.5,1.433697005386208,3.1691442183746417,0.8077004454395684
corners,PEG_S3,PEG,small,1.5,0.9476879204530608,1.921324278016439,-0.36335172792665305
corners,COOH_L3,COOH,large,1.5,1.4186672230486848,3.1091954320635993,0.8157175215089273
corners,COOH_S3,COOH,small,1.5,0.818744025438471,1.985456797909722,0.42505057562116677
corners,PEG_control,PEG,control,1.5,1.1089010905473942,2.3024545804229657,-0.10169342301859895
corners,COOH_control,COOH,control,1.5,0.780151462535882,1.8306580471648528,-0.0634067479617495
corners,PEG_L1,PEG,large,2.0,1.7043151901556615,3.6422867236769796,0.9289721081399787
corners,PEG_L2,PEG,large,2.0,1.5946675126444299,3.406210752897003,0.8914685866710487
corners,PEG_S1,PEG,small,2.0,0.917475672461879,2.0492512697983356,0.7244490271609146
corners,PEG_S2,PEG,small,2.0,1.5865452050903042,3.7057641042594844,0.6305165048402502
corners,COOH_L1,COOH,large,2.0,1.662253261328721,3.6189592569445805,0.8082349187325577
corners,COOH_L2,COOH,large,2.0,1.6963373684978875,3.529207792380548,0.8931446210083595
corners,COOH_S1,COOH,small,2.0,0.9615002461104262,2.1415028467603348,0.6658670664667666
corners,COOH_S2,COOH,small,2.0,1.072270458960424,2.902370268437638,0.7554643683595562
