day,agarose,arm,coating,series,t,front_right,front_left,front,wall_mm,front_thr15,front_thr20,front_thr25,front_thr30,front_thr35,centroid,d90,gap_mm
Day 2,0.6%,large,COOH,COOH_non-BSA_r2,5.5,4.604166666666667,0.0,4.604166666666667,4.604166666666667,4.604166666666667,4.604166666666667,4.604166666666667,4.583333333333334,4.583333333333334,2.641834570755492,4.169164466440132,0.6250000000000001
Day 2,0.6%,large,COOH,COOH_non-BSA_r2,6.0,4.604166666666667,0.0,4.604166666666667,4.604166666666667,4.604166666666667,4.604166666666667,4.604166666666667,4.583333333333334,4.562500000000001,2.6359764374598518,4.158033764424295,0.6250000000000001
Day 2,0.6%,large,COOH,COOH_non-BSA_r3,0.0,0.0,0.0,0.0,3.583333333333334,0.0,0.0,0.0,0.0,0.0,,,1.4583333333333335
Day 2,0.6%,large,COOH,COOH_non-BSA_r3,0.5,0.0,0.0,0.0,3.583333333333334,0.0,0.0,0.0,0.0,0.0,1.3165133134060505,3.4470771057092944,1.4583333333333335
Day 2,0.6%,large,COOH,COOH_non-BSA_r3,1.0,0.0,0.0,0.0,3.583333333333334,0.0,0.0,0.0,0.0,0.0,0.7215009317649752,2.7267234774819378,1.4583333333333335
Day 2,0.6%,large,COOH,COOH_non-BSA_r3,1.5,0.7916666666666667,0.0,0.7916666666666667,3.583333333333334,0.9375000000000001,0.8541666666666667,0.7916666666666667,0.7083333333333334,0.6666666666666667,0.9144340294619175,2.634502710201284,1.4583333333333335
Day 2,0.6%,large,COOH,COOH_non-BSA_r3,2.0,1.2500000000000002,0.0,1.2500000000000002,3.583333333333334,1.6041666666666667,1.3958333333333335,1.2500000000000002,1.1458333333333335,1.0416666666666667,1.1077237596414904,2.6751984357455383,1.4583333333333335
Day 2,0.6%,large,COOH,COOH_non-BSA_r3,2.5,2.1458333333333335,0.0,2.1458333333333335,3.583333333333334,3.520833333333334,2.5000000000000004,2.1458333333333335,1.8958333333333335,1.666666666666667,1.4224493367836881,2.908755074359813,1.4583333333333335
Day 2,0.6%,large,COOH,COOH_non-BSA_r3,3.0,2.291666666666667,0.0,2.291666666666667,3.583333333333334,3.5000000000000004,2.8333333333333335,2.291666666666667,2.041666666666667,1.791666666666667,1.505182493532956,2.9465994426728725,1.4583333333333335
Day 2,0.6%,large,COOH,COOH_non-BSA_r3,3.5,2.7083333333333335,0.0,2.7083333333333335,3.583333333333334,3.520833333333334,3.479166666666667,2.7083333333333335,2.229166666666667,1.916666666666667,1.589640416098934,3.034142906357023,1.4583333333333335
Day 2,0.6%,large,COOH,COOH_non-BSA_r3,4.0,3.4375000000000004,0.0,3.4375000000000004,3.583333333333334,3.541666666666667,3.5000000000000004,3.4375000000000004,2.3750000000000004,1.979166666666667,1.6309246362939072,3.0754173926173722,1.4583333333333335
Day 2,0.6%,large,COOH,COOH_non-BSA_r3,4.5,3.458333333333334,0.0,3.458333333333334,3.583333333333334,3.541666666666667,3.5000000000000004,3.458333333333334,2.541666666666667,1.9583333333333335,1.6466171694364233,3.0947474740721925,1.4583333333333335
Day 2,0.6%,large,COOH,COOH_non-BSA_r3,5.0,3.4375000000000004,0.0,3.4375000000000004,3.583333333333334,3.5625000000000004,3.520833333333334,3.4375000000000004,2.604166666666667,1.9583333333333335,1.656888476099459,3.1165622136584643,1.4583333333333335
Day 2,0.6%,large,COOH,COOH_non-BSA_r3,5.5,3.5000000000000004,0.0,3.5000000000000004,3.583333333333334,3.5625000000000004,3.541666666666667,3.5000000000000004,3.416666666666667,2.541666666666667,1.6608974521244113,3.1193504183511207,1.4583333333333335
Day 2,0.6%,large,COOH,COOH_non-BSA_r3,6.0,3.479166666666667,0.0,3.479166666666667,3.583333333333334,3.541666666666667,3.520833333333334,3.479166666666667,3.395833333333334,2.166666666666667,1.641351381992299,3.0942113140978527,1.4583333333333335
Day 1,0.4%,large,PEG,PEG_L1,0.0,0.0,0.0,0.0,4.229166666666667,0.0,0.0,0.0,0.0,0.0,,,0.6875000000000001
Day 1,0.4%,large,PEG,PEG_L1,0.5,0.7083333333333334,0.0,0.7083333333333334,4.229166666666667,0.8750000000000001,0.7916666666666667,0.7083333333333334,0.0,0.0,1.5905517576350117,3.703859652110726,0.6875000000000001
Day 1,0.4%,large,PEG,PEG_L1,1.0,1.4791666666666667,0.0,1.4791666666666667,4.229166666666667,1.6875000000000002,1.5625000000000002,1.4791666666666667,1.3958333333333335,1.3125000000000002,1.267410910341871,3.3504052232056067,0.6875000000000001
Day 1,0.4%,large,PEG,PEG_L1,1.5,1.8750000000000002,0.0,1.8750000000000002,4.229166666666667,3.958333333333334,2.0833333333333335,1.8750000000000002,1.7083333333333335,1.5833333333333335,1.525176940412749,3.480251218734181,0.6875000000000001
Day 1,0.4%,large,PEG,PEG_L1,2.0,3.0000000000000004,0.0,3.0000000000000004,4.229166666666667,4.187500000000001,4.145833333333334,3.0000000000000004,2.666666666666667,2.4375000000000004,1.569719347218056,3.3582706142667376,0.6875000000000001
Day 1,0.4%,large,PEG,PEG_L1,2.5,3.9375000000000004,0.0,3.9375000000000004,4.229166666666667,4.187500000000001,4.145833333333334,3.9375000000000004,3.833333333333334,2.8333333333333335,1.7535949027488897,3.510839461843226,0.6875000000000001
Day 1,0.4%,large,PEG,PEG_L1,3.0,4.166666666666667,0.0,4.166666666666667,4.229166666666667,4.229166666666667,4.208333333333334,4.166666666666667,3.895833333333334,3.395833333333334,1.8560693475172445,3.5662791667385596,0.6875000000000001
Day 1,0.4%,large,PEG,PEG_L1,3.5,4.208333333333334,0.0,4.208333333333334,4.229166666666667,4.229166666666667,4.229166666666667,4.208333333333334,4.166666666666667,4.145833333333334,1.9542286245750453,3.649984649890647,0.6875000000000001
