idx,front_px,centroid_px,mass,n_px
337,378.0,172.37204585240013,17367.640625,436
338,360.0,164.85880553460274,18217.126953125,436
339,48.0,96.0072159506505,9696.880859375,436
340,377.0,178.32524997637003,16042.087890625,436
341,22.0,151.36378815176872,18948.345703125,436
342,248.0,203.15307928693937,11109.4638671875,436
343,18.0,187.38072557746864,10606.0234375,436
344,382.0,218.1325801485473,11733.3837890625,436
345,188.0,213.19019411889175,6425.49609375,436
346,386.0,217.6932995522422,7323.5048828125,436
347,10.0,178.70578478571173,10716.24609375,436
348,378.0,185.36634293182271,17072.544921875,436
349,378.0,174.1694040740759,18113.55078125,436
350,10.0,168.05506424181303,17012.1171875,436
351,367.0,160.0327993646828,18137.19140625,436
352,112.0,137.86218740896587,6775.04296875,436
353,377.0,173.18394641747616,20562.80078125,436
354,250.0,208.24178633212173,10957.349609375,436
355,23.0,162.68921162891104,9968.63671875,436
356,381.0,214.67139186041464,11494.17578125,436
357,10.0,176.5895327992708,8195.955078125,436
358,41.0,124.94009220974219,13470.046875,436
359,9.0,186.9455694669384,11058.775390625,436
360,15.0,165.56114056795667,14356.9765625,436
361,378.0,172.13332021384682,13698.439453125,436
362,9.0,164.05453940143218,15643.5009765625,436
363,20.0,164.05965080360303,17756.013671875,436
364,19.0,160.46569477915673,21387.80859375,436
365,15.0,170.95110751794908,16149.8720703125,436
366,271.0,201.63449627248693,9785.248046875,436
367,136.0,231.6885948900109,5456.97265625,436
368,382.0,211.03216190026063,12057.1171875,436
369,177.0,217.00695090989902,7373.12060546875,436
370,186.0,219.0947689478572,7116.283203125,436
371,189.0,197.80769916396855,10047.330078125,436
372,285.0,157.53927264317622,9886.27734375,436
373,11.0,156.1817304898803,14044.67578125,436
374,16.0,169.2601071154004,13385.841796875,436
375,387.0,181.64052055160676,13527.2451171875,436
376,19.0,165.2569240700087,16218.7216796875,436
377,21.0,164.66511820888184,20265.08984375,436
378,184.0,202.79956370175913,8332.638671875,436
379,122.0,238.9748662759418,6555.15234375,436
380,382.0,215.96500639199363,12459.5107421875,436
381,168.0,184.04065292249612,5696.806640625,436
