idx,path,status,n_red_boxes
240,0.4 BACK/NON-BSA/7.5 hrs/PXL_20260827_183529860.jpg,ok,5
241,0.4 BACK/NON-BSA/7.5 hrs/PXL_20260827_183541282.jpg,ok,6
242,0.4 BACK/NON-BSA/7.5 hrs/PXL_20260827_183558074.jpg,ok,7
243,0.4 BACK/NON-BSA/7.5 hrs/PXL_20260827_183626993.jpg,ok,4
244,0.4 BACK/NON-BSA/7.5 hrs/PXL_20260827_183649132.jpg,ok,5
245,0.4 BACK/NON-BSA/7.5 hrs/PXL_20260827_183710931.jpg,ok,7
246,0.4 BACK/NON-BSA/7.5 hrs/PXL_20260827_184742008.jpg,ok,7
247,0.4 BACK/NON-BSA/7.5 hrs/PXL_20260827_184826971.jpg,ok,9
248,0.4 BACK/NON-BSA/7.5 hrs/PXL_20260827_184847778.jpg,ok,7
249,0.4 BACK/NON-BSA/7.5 hrs/PXL_20260827_184942250.jpg,ok,8
250,0.4 BACK/NON-BSA/7.5 hrs/PXL_20260827_184959438.jpg,ok,9
251,0.4 BACK/NON-BSA/7.5 hrs/PXL_20260827_185016191.jpg,ok,10
252,0.4 BACK/NON-BSA/9 hrs/PXL_20260827_200337239.jpg,ok,4
253,0.4 BACK/NON-BSA/9 hrs/PXL_20260827_200348063.jpg,ok,7
254,0.4 BACK/NON-BSA/9 hrs/PXL_20260827_200405127.jpg,ok,7
255,0.4 BACK/NON-BSA/9 hrs/PXL_20260827_200428529.jpg,ok,5
256,0.4 BACK/NON-BSA/9 hrs/PXL_20260827_200440659.jpg,ok,5
257,0.4 BACK/NON-BSA/9 hrs/PXL_20260827_200449798.jpg,ok,6
258,0.4 BACK/NON-BSA/9 hrs/PXL_20260827_201355263.jpg,ok,8
259,0.4 BACK/NON-BSA/9 hrs/PXL_20260827_201429802.jpg,ok,10
260,0.4 BACK/NON-BSA/9 hrs/PXL_20260827_201459954.jpg,ok,9
261,0.4 BACK/NON-BSA/9 hrs/PXL_20260827_201532090.jpg,ok,8
262,0.4 BACK/NON-BSA/9 hrs/PXL_20260827_201555766.jpg,ok,9
263,0.4 BACK/NON-BSA/9 hrs/PXL_20260827_201606310.jpg,ok,10
264,0.4 BACK/NON-BSA/10.5 hrs/PXL_20260827_213208705.jpg,ok,4
265,0.4 BACK/NON-BSA/10.5 hrs/PXL_20260827_213229527.jpg,ok,6
266,0.4 BACK/NON-BSA/10.5 hrs/PXL_20260827_213237249.jpg,ok,8
267,0.4 BACK/NON-BSA/10.5 hrs/PXL_20260827_213300267.jpg,ok,5
268,0.4 BACK/NON-BSA/10.5 hrs/PXL_20260827_213313721.jpg,ok,5
269,0.4 BACK/NON-BSA/10.5 hrs/PXL_20260827_213327384.jpg,ok,6
270,0.4 BACK/NON-BSA/10.5 hrs/PXL_20260827_214225614.jpg,ok,7
271,0.4 BACK/NON-BSA/10.5 hrs/PXL_20260827_214244239.jpg,ok,9
272,0.4 BACK/NON-BSA/10.5 hrs/PXL_20260827_214259734.jpg,ok,9
273,0.4 BACK/NON-BSA/10.5 hrs/PXL_20260827_214333993.jpg,ok,9
274,0.4 BACK/NON-BSA/10.5 hrs/PXL_20260827_214348075.jpg,ok,9
275,0.4 BACK/NON-BSA/10.5 hrs/PXL_20260827_214403877.jpg,ok,9
