path,geometry,timepoint_hr,capture_time,shot_order,gap_s
0.6 CENTER/4 hrs/PXL_20260826_191558289.jpg,0.6 CENTER,4.0,2026-08-26 19:15:58.289,6,32.003
0.6 CENTER/4 hrs/PXL_20260826_191644204.jpg,0.6 CENTER,4.0,2026-08-26 19:16:44.204,7,45.915
0.6 CENTER/4 hrs/PXL_20260826_191720478.jpg,0.6 CENTER,4.0,2026-08-26 19:17:20.478,8,36.274
0.6 CENTER/4 hrs/PXL_20260826_191747243.jpg,0.6 CENTER,4.0,2026-08-26 19:17:47.243,9,26.765
0.6 CENTER/4 hrs/PXL_20260826_191817126.jpg,0.6 CENTER,4.0,2026-08-26 19:18:17.126,10,29.883
0.6 CENTER/4 hrs/PXL_20260826_191841531.jpg,0.6 CENTER,4.0,2026-08-26 19:18:41.531,11,24.405
0.6 CENTER/4 hrs/PXL_20260826_191910010.jpg,0.6 CENTER,4.0,2026-08-26 19:19:10.010,12,28.479
0.6 CENTER/4 hrs/PXL_20260826_192214980.jpg,0.6 CENTER,4.0,2026-08-26 19:22:14.980,13,184.97
0.6 CENTER/4 hrs/PXL_20260826_192300653.jpg,0.6 CENTER,4.0,2026-08-26 19:23:00.653,14,45.673
0.6 CENTER/4 hrs/PXL_20260826_192344070.jpg,0.6 CENTER,4.0,2026-08-26 19:23:44.070,15,43.417
0.6 CENTER/4 hrs/PXL_20260826_192453202.jpg,0.6 CENTER,4.0,2026-08-26 19:24:53.202,16,69.132
0.6 CENTER/4.5 hrs/PXL_20260826_193939945.jpg,0.6 CENTER,4.5,2026-08-26 19:39:39.945,1,
0.6 CENTER/4.5 hrs/PXL_20260826_194012857.jpg,0.6 CENTER,4.5,2026-08-26 19:40:12.857,2,32.912
0.6 CENTER/4.5 hrs/PXL_20260826_194049195.jpg,0.6 CENTER,4.5,2026-08-26 19:40:49.195,3,36.338
0.6 CENTER/4.5 hrs/PXL_20260826_194121243.jpg,0.6 CENTER,4.5,2026-08-26 19:41:21.243,4,32.048
0.6 CENTER/4.5 hrs/PXL_20260826_194231859.jpg,0.6 CENTER,4.5,2026-08-26 19:42:31.859,5,70.616
0.6 CENTER/4.5 hrs/PXL_20260826_194301654.jpg,0.6 CENTER,4.5,2026-08-26 19:43:01.654,6,29.795
0.6 CENTER/4.5 hrs/PXL_20260826_194608027.jpg,0.6 CENTER,4.5,2026-08-26 19:46:08.027,7,186.373
0.6 CENTER/4.5 hrs/PXL_20260826_194658720.jpg,0.6 CENTER,4.5,2026-08-26 19:46:58.720,8,50.693
0.6 CENTER/4.5 hrs/PXL_20260826_194732570.jpg,0.6 CENTER,4.5,2026-08-26 19:47:32.570,9,33.85
0.6 CENTER/4.5 hrs/PXL_20260826_194756404.jpg,0.6 CENTER,4.5,2026-08-26 19:47:56.404,10,23.834
0.6 CENTER/4.5 hrs/PXL_20260826_194828954.jpg,0.6 CENTER,4.5,2026-08-26 19:48:28.954,11,32.55
0.6 CENTER/4.5 hrs/PXL_20260826_194921273.jpg,0.6 CENTER,4.5,2026-08-26 19:49:21.273,12,52.319
0.6 CENTER/4.5 hrs/PXL_20260826_195241157.jpg,0.6 CENTER,4.5,2026-08-26 19:52:41.157,13,199.884
0.6 CENTER/4.5 hrs/PXL_20260826_195305380.jpg,0.6 CENTER,4.5,2026-08-26 19:53:05.380,14,24.223
0.6 CENTER/4.5 hrs/PXL_20260826_195346224.jpg,0.6 CENTER,4.5,2026-08-26 19:53:46.224,15,40.844
0.6 CENTER/4.5 hrs/PXL_20260826_195418410.jpg,0.6 CENTER,4.5,2026-08-26 19:54:18.410,16,32.186
0.6 CENTER/5 hrs/PXL_20260826_201335033.jpg,0.6 CENTER,5.0,2026-08-26 20:13:35.033,1,
0.6 CENTER/5 hrs/PXL_20260826_201431200.jpg,0.6 CENTER,5.0,2026-08-26 20:14:31.200,2,56.167
0.6 CENTER/5 hrs/PXL_20260826_201512822.jpg,0.6 CENTER,5.0,2026-08-26 20:15:12.822,3,41.622
0.6 CENTER/5 hrs/PXL_20260826_201606139.jpg,0.6 CENTER,5.0,2026-08-26 20:16:06.139,4,53.317
0.6 CENTER/5 hrs/PXL_20260826_201641574.jpg,0.6 CENTER,5.0,2026-08-26 20:16:41.574,5,35.435
0.6 CENTER/5 hrs/PXL_20260826_201725101.jpg,0.6 CENTER,5.0,2026-08-26 20:17:25.101,6,43.527
0.6 CENTER/5 hrs/PXL_20260826_201810157.jpg,0.6 CENTER,5.0,2026-08-26 20:18:10.157,7,45.056
0.6 CENTER/5 hrs/PXL_20260826_201853317.jpg,0.6 CENTER,5.0,2026-08-26 20:18:53.317,8,43.16
0.6 CENTER/5 hrs/PXL_20260826_201930479.jpg,0.6 CENTER,5.0,2026-08-26 20:19:30.479,9,37.162
0.6 CENTER/5 hrs/PXL_20260826_202002415.jpg,0.6 CENTER,5.0,2026-08-26 20:20:02.415,10,31.936
0.6 CENTER/5 hrs/PXL_20260826_202035829.jpg,0.6 CENTER,5.0,2026-08-26 20:20:35.829,11,33.414
0.6 CENTER/5 hrs/PXL_20260826_202112553.jpg,0.6 CENTER,5.0,2026-08-26 20:21:12.553,12,36.724
0.6 CENTER/5 hrs/PXL_20260826_202350445.jpg,0.6 CENTER,5.0,2026-08-26 20:23:50.445,13,157.892
0.6 CENTER/5 hrs/PXL_20260826_202459405.jpg,0.6 CENTER,5.0,2026-08-26 20:24:59.405,14,68.96
0.6 CENTER/5 hrs/PXL_20260826_202517510.jpg,0.6 CENTER,5.0,2026-08-26 20:25:17.510,15,18.105
0.6 CENTER/5 hrs/PXL_20260826_202536997.jpg,0.6 CENTER,5.0,2026-08-26 20:25:36.997,16,19.487
0.6 CENTER/5.5 hrs/PXL_20260826_204358999.jpg,0.6 CENTER,5.5,2026-08-26 20:43:58.999,1,
0.6 CENTER/5.5 hrs/PXL_20260826_204510170.jpg,0.6 CENTER,5.5,2026-08-26 20:45:10.170,2,71.171
0.6 CENTER/5.5 hrs/PXL_20260826_204610506.jpg,0.6 CENTER,5.5,2026-08-26 20:46:10.506,3,60.336
0.6 CENTER/5.5 hrs/PXL_20260826_204652802.jpg,0.6 CENTER,5.5,2026-08-26 20:46:52.802,4,42.296
0.6 CENTER/5.5 hrs/PXL_20260826_204737771.jpg,0.6 CENTER,5.5,2026-08-26 20:47:37.771,5,44.969
0.6 CENTER/5.5 hrs/PXL_20260826_204809585.jpg,0.6 CENTER,5.5,2026-08-26 20:48:09.585,6,31.814
0.6 CENTER/5.5 hrs/PXL_20260826_204836689.jpg,0.6 CENTER,5.5,2026-08-26 20:48:36.689,7,27.104
0.6 CENTER/5.5 hrs/PXL_20260826_204900330.jpg,0.6 CENTER,5.5,2026-08-26 20:49:00.330,8,23.641
0.6 CENTER/5.5 hrs/PXL_20260826_204928024.jpg,0.6 CENTER,5.5,2026-08-26 20:49:28.024,9,27.694
0.6 CENTER/5.5 hrs/PXL_20260826_204949874.jpg,0.6 CENTER,5.5,2026-08-26 20:49:49.874,10,21.85
0.6 CENTER/5.5 hrs/PXL_20260826_205012206.jpg,0.6 CENTER,5.5,2026-08-26 20:50:12.206,11,22.332
0.6 CENTER/5.5 hrs/PXL_20260826_205042597.jpg,0.6 CENTER,5.5,2026-08-26 20:50:42.597,12,30.391
0.6 CENTER/5.5 hrs/PXL_20260826_205244450.jpg,0.6 CENTER,5.5,2026-08-26 20:52:44.450,13,121.853
0.6 CENTER/5.5 hrs/PXL_20260826_205301892.jpg,0.6 CENTER,5.5,2026-08-26 20:53:01.892,14,17.442
0.6 CENTER/5.5 hrs/PXL_20260826_205322669.jpg,0.6 CENTER,5.5,2026-08-26 20:53:22.669,15,20.777
0.6 CENTER/5.5 hrs/PXL_20260826_205348944.jpg,0.6 CENTER,5.5,2026-08-26 20:53:48.944,16,26.275
0.6 CENTER/6 hrs/PXL_20260826_211356855.jpg,0.6 CENTER,6.0,2026-08-26 21:13:56.855,1,
0.6 CENTER/6 hrs/PXL_20260826_211427203.jpg,0.6 CENTER,6.0,2026-08-26 21:14:27.203,2,30.348
0.6 CENTER/6 hrs/PXL_20260826_211447863.jpg,0.6 CENTER,6.0,2026-08-26 21:14:47.863,3,20.66
0.6 CENTER/6 hrs/PXL_20260826_211517646.jpg,0.6 CENTER,6.0,2026-08-26 21:15:17.646,4,29.783
0.6 CENTER/6 hrs/PXL_20260826_211542690.jpg,0.6 CENTER,6.0,2026-08-26 21:15:42.690,5,25.044
0.6 CENTER/6 hrs/PXL_20260826_211611789.jpg,0.6 CENTER,6.0,2026-08-26 21:16:11.789,6,29.099
0.6 CENTER/6 hrs/PXL_20260826_211642406.jpg,0.6 CENTER,6.0,2026-08-26 21:16:42.406,7,30.617
0.6 CENTER/6 hrs/PXL_20260826_211702516.jpg,0.6 CENTER,6.0,2026-08-26 21:17:02.516,8,20.11
0.6 CENTER/6 hrs/PXL_20260826_211722705.jpg,0.6 CENTER,6.0,2026-08-26 21:17:22.705,9,20.189
0.6 CENTER/6 hrs/PXL_20260826_211741154.jpg,0.6 CENTER,6.0,2026-08-26 21:17:41.154,10,18.449
0.6 CENTER/6 hrs/PXL_20260826_211807434.jpg,0.6 CENTER,6.0,2026-08-26 21:18:07.434,11,26.28
0.6 CENTER/6 hrs/PXL_20260826_211834760.jpg,0.6 CENTER,6.0,2026-08-26 21:18:34.760,12,27.326
0.6 CENTER/6 hrs/PXL_20260826_212115678.jpg,0.6 CENTER,6.0,2026-08-26 21:21:15.678,13,160.918
0.6 CENTER/6 hrs/PXL_20260826_212145360.jpg,0.6 CENTER,6.0,2026-08-26 21:21:45.360,14,29.682
0.6 CENTER/6 hrs/PXL_20260826_212213974.jpg,0.6 CENTER,6.0,2026-08-26 21:22:13.974,15,28.614
0.6 CENTER/6 hrs/PXL_20260826_212258510.jpg,0.6 CENTER,6.0,2026-08-26 21:22:58.510,16,44.536
