idx,ok,gap_vertical,gap_frac,series,t,date
153,True,True,0.5041666666666667,COOH_control,4.5,2026-08-25
154,True,True,0.24166666666666667,PEG_L1,5.0,2026-08-23
155,True,True,0.68125,PEG_L2,5.0,2026-08-23
156,True,True,0.5541666666666667,PEG_S1,5.0,2026-08-23
157,True,True,0.9145833333333333,PEG_S2,5.0,2026-08-23
158,True,True,0.5854166666666667,COOH_L1,5.0,2026-08-23
159,True,True,0.85625,COOH_L2,5.0,2026-08-23
160,True,True,0.625,COOH_S1,5.0,2026-08-23
161,True,True,0.5520833333333334,COOH_S2,5.0,2026-08-23
162,True,True,0.5270833333333333,PEG_L3,5.0,2026-08-25
163,True,True,0.5208333333333334,COOH_L3,5.0,2026-08-25
164,True,True,0.5166666666666667,COOH_S3,5.0,2026-08-25
165,True,True,0.5145833333333333,PEG_control,5.0,2026-08-25
166,True,True,0.5083333333333333,COOH_control,5.0,2026-08-25
167,True,True,0.53125,PEG_S3,5.0,2026-08-25
168,True,True,0.24791666666666667,PEG_L1,5.5,2026-08-23
169,True,True,0.5416666666666666,PEG_L2,5.5,2026-08-23
170,True,True,0.6291666666666667,PEG_S1,5.5,2026-08-23
171,True,True,0.12083333333333333,PEG_S2,5.5,2026-08-23
172,True,True,0.5833333333333334,COOH_L1,5.5,2026-08-23
173,True,True,0.9145833333333333,COOH_L2,5.5,2026-08-23
174,True,True,0.6291666666666667,COOH_S1,5.5,2026-08-23
175,True,True,0.6333333333333333,COOH_S2,5.5,2026-08-23
176,True,True,0.5270833333333333,PEG_L3,5.5,2026-08-26
177,True,True,0.51875,COOH_L3,5.5,2026-08-26
178,True,True,0.525,COOH_S3,5.5,2026-08-26
179,True,True,0.5458333333333333,PEG_S3,5.5,2026-08-26
180,True,True,0.5104166666666666,PEG_control,5.5,2026-08-26
181,True,True,0.50625,COOH_control,5.5,2026-08-26
182,True,True,0.2791666666666667,PEG_L1,6.0,2026-08-23
183,True,True,0.5458333333333333,PEG_L2,6.0,2026-08-23
184,True,True,0.6375,PEG_S1,6.0,2026-08-23
185,True,True,0.9145833333333333,PEG_S2,6.0,2026-08-23
186,True,True,0.61875,COOH_L1,6.0,2026-08-23
187,True,True,0.83125,COOH_L2,6.0,2026-08-23
188,True,True,0.6270833333333333,COOH_S1,6.0,2026-08-23
189,True,True,0.61875,COOH_S2,6.0,2026-08-23
190,True,True,0.5270833333333333,PEG_L3,6.0,2026-08-26
191,True,True,0.5166666666666667,COOH_L3,6.0,2026-08-26
192,True,True,0.5145833333333333,COOH_S3,6.0,2026-08-26
193,True,True,0.5416666666666666,PEG_S3,6.0,2026-08-26
194,True,True,0.5,COOH_control,6.0,2026-08-26
195,True,True,0.50625,PEG_control,6.0,2026-08-26
