geometry,perturb,idx,series,coating,arm,t,centroid_mag,d90_mag,nav_index
repair,False,138,PEG_control,PEG,control,4.0,0.9103520086113221,2.050863907241871,-0.09232057839780972
repair,False,139,COOH_control,COOH,control,4.0,1.1467689986006795,3.588705635309277,-0.621441115718823
repair,False,140,PEG_L1,PEG,large,4.5,2.102216609209031,3.791505316253503,0.7868436036369336
repair,False,141,PEG_L2,PEG,large,4.5,1.8955154090005164,3.7203854084101358,0.8815243791294385
repair,False,142,PEG_S1,PEG,small,4.5,1.2150911841330996,2.809662533625846,0.7258635183504016
repair,False,143,PEG_S2,PEG,small,4.5,1.6429837967588616,3.6033248394397543,0.7130107060474288
repair,False,144,COOH_L1,COOH,large,4.5,1.9476101955000147,3.7913504801424533,0.8613868239633652
repair,False,145,COOH_L2,COOH,large,4.5,1.9706448243881112,3.8908521097804085,0.8734452849275947
repair,False,146,COOH_S1,COOH,small,4.5,1.1943607803547556,2.7295599320522355,0.5020833355517739
repair,False,147,COOH_S2,COOH,small,4.5,1.32619107172292,3.289653295070624,0.4628043717946986
repair,False,148,PEG_L3,PEG,large,4.5,1.721368950820937,3.318513398144873,0.9065405281968945
repair,False,149,PEG_S3,PEG,small,4.5,0.8535095900122075,1.7994699540212933,0.1300132416937337
repair,False,150,COOH_L3,COOH,large,4.5,1.658419390066482,3.5162363106222343,0.9520479720279301
repair,False,151,COOH_S3,COOH,small,4.5,0.8314659403838648,1.7738503480346974,0.7616237355398516
repair,False,152,PEG_control,PEG,control,4.5,0.8716108958810335,1.9645127575047094,-0.09659305610549263
repair,False,153,COOH_control,COOH,control,4.5,0.9292923106358342,1.8182088904342657,-0.5955474619613482
repair,False,154,PEG_L1,PEG,large,5.0,2.1182633403169824,3.815761101878629,0.7642929009172614
repair,False,155,PEG_L2,PEG,large,5.0,1.9125239955716802,3.7379129498654637,0.8805070337498972
repair,False,156,PEG_S1,PEG,small,5.0,1.3108353177284036,2.6046004142919275,0.7826749151129887
repair,False,157,PEG_S2,PEG,small,5.0,1.6270816875500358,3.5884775292308593,0.7568406894939691
repair,False,158,COOH_L1,COOH,large,5.0,1.9564060355380792,3.8029711660034,0.8661642975651791
repair,False,159,COOH_L2,COOH,large,5.0,1.9491091745020839,3.8999551760506255,0.8833335470115364
repair,False,160,COOH_S1,COOH,small,5.0,1.2930832172824944,2.755007092827379,0.6238765566778662
repair,False,161,COOH_S2,COOH,small,5.0,1.345496787050816,3.185312692778335,0.5536897675869902
repair,False,162,PEG_L3,PEG,large,5.0,1.675731335884314,3.2778008163619785,0.9068763416359016
repair,False,163,COOH_L3,COOH,large,5.0,1.6784810054707786,3.547146320161133,0.9488264536388678
repair,False,164,COOH_S3,COOH,small,5.0,1.1234838227645352,2.5892072029934523,0.7715919301714687
repair,False,165,PEG_control,PEG,control,5.0,0.8914656491262818,2.0012917371351713,-0.10187070288538738
repair,False,166,COOH_control,COOH,control,5.0,0.8248227331859544,1.697571960703883,-0.558126735593799
repair,False,167,PEG_S3,PEG,small,5.0,0.8492749936645364,1.7668149018991264,0.13635792610537914
repair,False,168,PEG_L1,PEG,large,5.5,2.171797054123555,3.8239871097635327,0.7674444796252005
repair,False,169,PEG_L2,PEG,large,5.5,1.9097065559749538,3.7381978329051844,0.8933311737051522
repair,False,170,PEG_S1,PEG,small,5.5,1.2650361851572434,2.714590876990242,0.7387235081960691
repair,False,171,PEG_S2,PEG,small,5.5,1.6656876584968272,3.690543787718386,0.8161580236399191
repair,False,172,COOH_L1,COOH,large,5.5,1.9749204936477054,3.8088918078351757,0.8503682170744328
repair,False,173,COOH_L2,COOH,large,5.5,2.0104080465291485,3.8796115877002384,0.812254136198659
repair,False,174,COOH_S1,COOH,small,5.5,1.3678268450523543,2.8046366399557896,0.6388055042356905
repair,False,175,COOH_S2,COOH,small,5.5,1.4002399985775047,3.2641274512682017,0.5468536758090072
repair,False,176,PEG_L3,PEG,large,5.5,1.7125405754257301,3.3057596199965964,0.8979283278856173
repair,False,177,COOH_L3,COOH,large,5.5,1.6978979310406597,3.5612907544726937,0.9466475685733116
repair,False,178,COOH_S3,COOH,small,5.5,1.0732465088262804,2.339951944594945,0.7597499463914921
repair,False,179,PEG_S3,PEG,small,5.5,0.8201206837247955,1.7025134165580937,0.017469352985702232
repair,False,180,PEG_control,PEG,control,5.5,0.7347245559298852,1.9857654394710427,0.19526327576599734
repair,False,181,COOH_control,COOH,control,5.5,0.8280435179643486,1.7466648630775248,0.6570150292127225
repair,False,182,PEG_L1,PEG,large,6.0,2.1036897814599094,3.8197363161131617,0.733250979735611
repair,False,183,PEG_L2,PEG,large,6.0,2.0474797497211403,3.7631863205533267,0.9065872307793281
repair,False,184,PEG_S1,PEG,small,6.0,1.3246825792615011,2.737810347926708,0.7437135219256853
