idx,series,ncc
335,0.6_BSA_COOH_magnet_r3,0.809406042098999
347,0.6_BSA_COOH_magnet_r3,0.6011925935745239
359,0.6_BSA_COOH_magnet_r3,0.6220855712890625
371,0.6_BSA_COOH_magnet_r3,0.9075031280517578
383,0.6_BSA_COOH_magnet_r3,0.9047337770462036
395,0.6_BSA_COOH_magnet_r3,0.9092574715614319
407,0.6_BSA_COOH_magnet_r3,0.42032548785209656
419,0.6_BSA_COOH_magnet_r3,-0.020396709442138672
431,0.6_BSA_COOH_magnet_r3,-0.013892441987991333
443,0.6_BSA_COOH_magnet_r3,0.8023406267166138
312,0.6_BSA_PEG_control_r1,0.2742618918418884
324,0.6_BSA_PEG_control_r1,0.5193515419960022
336,0.6_BSA_PEG_control_r1,0.5264217853546143
348,0.6_BSA_PEG_control_r1,0.5947756767272949
360,0.6_BSA_PEG_control_r1,0.3249586820602417
374,0.6_BSA_PEG_control_r1,0.31029951572418213
384,0.6_BSA_PEG_control_r1,0.5494913458824158
396,0.6_BSA_PEG_control_r1,0.5371592044830322
408,0.6_BSA_PEG_control_r1,0.5349410772323608
420,0.6_BSA_PEG_control_r1,0.5349757671356201
432,0.6_BSA_PEG_control_r1,0.576471745967865
444,0.6_BSA_PEG_control_r1,0.4594312310218811
313,0.6_BSA_PEG_control_r2,0.5819494724273682
325,0.6_BSA_PEG_control_r2,0.674286425113678
337,0.6_BSA_PEG_control_r2,0.42213618755340576
349,0.6_BSA_PEG_control_r2,0.355743944644928
361,0.6_BSA_PEG_control_r2,0.7631233930587769
372,0.6_BSA_PEG_control_r2,0.8894856572151184
385,0.6_BSA_PEG_control_r2,0.676807165145874
397,0.6_BSA_PEG_control_r2,0.7680385112762451
409,0.6_BSA_PEG_control_r2,0.6977642178535461
421,0.6_BSA_PEG_control_r2,0.8743348121643066
433,0.6_BSA_PEG_control_r2,0.5149655342102051
314,0.6_BSA_PEG_control_r3,0.725161612033844
326,0.6_BSA_PEG_control_r3,0.8181145191192627
338,0.6_BSA_PEG_control_r3,0.3219548761844635
350,0.6_BSA_PEG_control_r3,0.8269860148429871
362,0.6_BSA_PEG_control_r3,0.8313495516777039
373,0.6_BSA_PEG_control_r3,0.7831549644470215
386,0.6_BSA_PEG_control_r3,0.8954322338104248
398,0.6_BSA_PEG_control_r3,0.8425105810165405
410,0.6_BSA_PEG_control_r3,0.8587527275085449
422,0.6_BSA_PEG_control_r3,0.562288224697113
434,0.6_BSA_PEG_control_r3,0.7120330333709717
446,0.6_BSA_PEG_control_r3,0.4813886880874634
300,0.6_BSA_PEG_magnet_r1,0.6816273927688599
301,0.6_BSA_PEG_magnet_r1,0.39954674243927
318,0.6_BSA_PEG_magnet_r1,0.7357974052429199
330,0.6_BSA_PEG_magnet_r1,0.755961000919342
342,0.6_BSA_PEG_magnet_r1,0.6954167485237122
354,0.6_BSA_PEG_magnet_r1,0.6856229305267334
366,0.6_BSA_PEG_magnet_r1,0.5447501540184021
378,0.6_BSA_PEG_magnet_r1,0.8779083490371704
390,0.6_BSA_PEG_magnet_r1,0.7402998805046082
402,0.6_BSA_PEG_magnet_r1,0.8236892223358154
414,0.6_BSA_PEG_magnet_r1,0.21198749542236328
426,0.6_BSA_PEG_magnet_r1,0.7994915843009949
438,0.6_BSA_PEG_magnet_r1,0.7794591188430786
302,0.6_BSA_PEG_magnet_r2,0.54139244556427
303,0.6_BSA_PEG_magnet_r2,0.8234509229660034
305,0.6_BSA_PEG_magnet_r2,0.6020961403846741
319,0.6_BSA_PEG_magnet_r2,0.77591872215271
331,0.6_BSA_PEG_magnet_r2,0.5648026466369629
343,0.6_BSA_PEG_magnet_r2,0.4953485131263733
355,0.6_BSA_PEG_magnet_r2,0.49958813190460205
367,0.6_BSA_PEG_magnet_r2,0.7701995372772217
379,0.6_BSA_PEG_magnet_r2,0.6786673069000244
391,0.6_BSA_PEG_magnet_r2,0.6027673482894897
403,0.6_BSA_PEG_magnet_r2,0.7463439106941223
415,0.6_BSA_PEG_magnet_r2,0.7851834893226624
427,0.6_BSA_PEG_magnet_r2,0.7916102409362793
439,0.6_BSA_PEG_magnet_r2,0.6980297565460205
304,0.6_BSA_PEG_magnet_r3,0.31818413734436035
320,0.6_BSA_PEG_magnet_r3,0.41174113750457764
332,0.6_BSA_PEG_magnet_r3,0.5276614427566528
344,0.6_BSA_PEG_magnet_r3,0.834737241268158
356,0.6_BSA_PEG_magnet_r3,0.8883183002471924
368,0.6_BSA_PEG_magnet_r3,0.6327396631240845
380,0.6_BSA_PEG_magnet_r3,0.8616984486579895
392,0.6_BSA_PEG_magnet_r3,0.8741373419761658
404,0.6_BSA_PEG_magnet_r3,0.1373981237411499
416,0.6_BSA_PEG_magnet_r3,0.17123743891716003
428,0.6_BSA_PEG_magnet_r3,0.6328023076057434
440,0.6_BSA_PEG_magnet_r3,0.7979901432991028
465,0.6_non-BSA_COOH_control_r1,0.717230498790741
477,0.6_non-BSA_COOH_control_r1,0.6315041184425354
489,0.6_non-BSA_COOH_control_r1,0.65956050157547
501,0.6_non-BSA_COOH_control_r1,0.6453855037689209
515,0.6_non-BSA_COOH_control_r1,0.6831173896789551
525,0.6_non-BSA_COOH_control_r1,0.967553973197937
537,0.6_non-BSA_COOH_control_r1,0.9633051753044128
549,0.6_non-BSA_COOH_control_r1,0.9690251350402832
561,0.6_non-BSA_COOH_control_r1,0.7902149558067322
573,0.6_non-BSA_COOH_control_r1,0.9705179333686829
585,0.6_non-BSA_COOH_control_r1,0.944456934928894
597,0.6_non-BSA_COOH_control_r1,0.8159180879592896
466,0.6_non-BSA_COOH_control_r2,0.9292768239974976
478,0.6_non-BSA_COOH_control_r2,0.9541677236557007
490,0.6_non-BSA_COOH_control_r2,0.9204690456390381
502,0.6_non-BSA_COOH_control_r2,0.45143377780914307
513,0.6_non-BSA_COOH_control_r2,0.477903813123703
526,0.6_non-BSA_COOH_control_r2,0.9687370657920837
538,0.6_non-BSA_COOH_control_r2,0.940691351890564
550,0.6_non-BSA_COOH_control_r2,0.9395514726638794
562,0.6_non-BSA_COOH_control_r2,0.7939937710762024
574,0.6_non-BSA_COOH_control_r2,0.9021986126899719
586,0.6_non-BSA_COOH_control_r2,0.9293559789657593
598,0.6_non-BSA_COOH_control_r2,0.5208384990692139
467,0.6_non-BSA_COOH_control_r3,0.5271706581115723
