t,arm,agarose,bsa,coating,gap_b,mid_b,right_b
3.0,magnet,0.4,non-BSA,PEG,1.0,4.0,4.0
3.0,magnet,0.4,non-BSA,COOH,11.0,8.0,7.0
3.0,magnet,0.4,non-BSA,COOH,3.0,5.0,5.0
3.0,magnet,0.4,non-BSA,COOH,11.0,10.0,9.0
3.0,control,0.4,non-BSA,PEG,2.0,8.0,9.0
3.0,control,0.4,non-BSA,PEG,-2.0,6.0,6.0
3.0,control,0.4,non-BSA,PEG,3.0,12.0,8.0
3.0,control,0.4,non-BSA,COOH,13.0,7.0,8.0
3.0,control,0.4,non-BSA,COOH,6.0,13.0,8.0
3.0,control,0.4,non-BSA,COOH,2.0,10.0,7.0
4.0,magnet,0.4,non-BSA,PEG,1.0,9.0,6.0
4.0,magnet,0.4,non-BSA,PEG,5.0,7.0,7.0
4.0,magnet,0.4,non-BSA,PEG,3.0,5.0,5.0
4.0,magnet,0.4,non-BSA,COOH,12.0,9.0,8.0
4.0,magnet,0.4,non-BSA,COOH,3.0,7.0,7.0
4.0,magnet,0.4,non-BSA,COOH,11.0,10.0,10.0
4.0,control,0.4,non-BSA,PEG,18.0,9.0,10.0
4.0,control,0.4,non-BSA,PEG,5.0,5.0,5.0
4.0,control,0.4,non-BSA,PEG,3.0,13.0,8.0
4.0,control,0.4,non-BSA,COOH,18.0,6.0,7.0
4.0,control,0.4,non-BSA,COOH,5.0,14.0,8.0
4.0,control,0.4,non-BSA,COOH,1.0,9.0,7.0
5.0,magnet,0.4,non-BSA,PEG,5.0,7.0,6.0
5.0,magnet,0.4,non-BSA,PEG,8.0,8.0,7.0
5.0,magnet,0.4,non-BSA,PEG,5.0,6.0,6.0
5.0,magnet,0.4,non-BSA,COOH,2.0,11.0,9.0
5.0,magnet,0.4,non-BSA,COOH,1.0,7.0,6.0
5.0,magnet,0.4,non-BSA,COOH,4.0,11.0,11.0
5.0,control,0.4,non-BSA,PEG,7.0,11.0,11.0
5.0,control,0.4,non-BSA,PEG,2.0,7.0,7.0
5.0,control,0.4,non-BSA,PEG,2.0,14.0,9.0
5.0,control,0.4,non-BSA,COOH,2.0,7.0,7.0
5.0,control,0.4,non-BSA,COOH,4.0,14.0,9.0
5.0,control,0.4,non-BSA,COOH,22.0,9.0,8.0
6.0,magnet,0.4,non-BSA,PEG,5.0,8.0,6.0
6.0,magnet,0.4,non-BSA,PEG,4.0,8.0,8.0
6.0,magnet,0.4,non-BSA,PEG,3.0,7.0,7.0
6.0,magnet,0.4,non-BSA,COOH,14.0,11.0,11.0
6.0,magnet,0.4,non-BSA,COOH,12.0,8.0,7.0
6.0,magnet,0.4,non-BSA,COOH,12.0,12.0,11.0
6.0,control,0.4,non-BSA,PEG,18.0,10.0,10.0
6.0,control,0.4,non-BSA,PEG,5.0,8.0,8.0
6.0,control,0.4,non-BSA,PEG,26.0,12.0,9.0
6.0,control,0.4,non-BSA,COOH,11.0,7.0,7.0
6.0,control,0.4,non-BSA,COOH,4.0,15.0,9.0
6.0,control,0.4,non-BSA,COOH,1.0,11.0,8.0
7.5,magnet,0.4,non-BSA,PEG,2.0,12.0,7.0
7.5,magnet,0.4,non-BSA,PEG,7.0,10.0,9.0
7.5,magnet,0.4,non-BSA,PEG,8.0,8.0,8.0
7.5,magnet,0.4,non-BSA,COOH,2.0,13.0,12.0
7.5,magnet,0.4,non-BSA,COOH,15.0,11.0,8.0
7.5,magnet,0.4,non-BSA,COOH,14.0,12.0,12.0
7.5,control,0.4,non-BSA,PEG,21.0,12.0,12.0
7.5,control,0.4,non-BSA,PEG,-1.0,9.0,8.0
7.5,control,0.4,non-BSA,PEG,27.0,13.0,9.0
7.5,control,0.4,non-BSA,COOH,3.0,8.0,8.0
7.5,control,0.4,non-BSA,COOH,5.0,15.0,10.0
7.5,control,0.4,non-BSA,COOH,1.0,11.0,9.0
9.0,magnet,0.4,non-BSA,PEG,2.0,12.0,7.0
9.0,magnet,0.4,non-BSA,PEG,7.0,11.0,9.0
9.0,magnet,0.4,non-BSA,PEG,3.0,8.0,8.0
9.0,magnet,0.4,non-BSA,COOH,2.0,14.0,12.0
9.0,magnet,0.4,non-BSA,COOH,14.0,12.0,8.0
9.0,magnet,0.4,non-BSA,COOH,14.0,13.0,12.0
9.0,control,0.4,non-BSA,PEG,1.0,14.0,12.0
9.0,control,0.4,non-BSA,PEG,3.0,9.0,8.0
9.0,control,0.4,non-BSA,PEG,27.0,13.0,9.0
9.0,control,0.4,non-BSA,COOH,4.0,8.0,0.0
9.0,control,0.4,non-BSA,COOH,5.0,15.0,10.0
9.0,control,0.4,non-BSA,COOH,3.0,11.0,8.0
10.5,magnet,0.4,non-BSA,PEG,6.0,11.0,8.0
10.5,magnet,0.4,non-BSA,PEG,8.0,11.0,10.0
10.5,magnet,0.4,non-BSA,PEG,3.0,9.0,8.0
10.5,magnet,0.4,non-BSA,COOH,2.0,15.0,12.0
10.5,magnet,0.4,non-BSA,COOH,2.0,14.0,8.0
10.5,magnet,0.4,non-BSA,COOH,4.0,15.0,13.0
10.5,control,0.4,non-BSA,PEG,5.0,13.0,11.0
10.5,control,0.4,non-BSA,PEG,4.0,9.0,8.0
10.5,control,0.4,non-BSA,PEG,28.0,12.0,9.0
10.5,control,0.4,non-BSA,COOH,10.0,7.0,7.0
10.5,control,0.4,non-BSA,COOH,4.0,15.0,9.0
10.5,control,0.4,non-BSA,COOH,28.0,10.0,9.0
12.0,magnet,0.4,non-BSA,PEG,6.0,13.0,8.0
12.0,magnet,0.4,non-BSA,PEG,8.0,12.0,10.0
12.0,magnet,0.4,non-BSA,PEG,2.0,8.0,8.0
12.0,magnet,0.4,non-BSA,COOH,14.0,15.0,13.0
12.0,magnet,0.4,non-BSA,COOH,12.0,15.0,9.0
12.0,magnet,0.4,non-BSA,COOH,12.0,15.0,13.0
12.0,control,0.4,non-BSA,PEG,22.0,12.0,11.0
12.0,control,0.4,non-BSA,PEG,7.0,8.0,7.0
12.0,control,0.4,non-BSA,PEG,28.0,13.0,9.0
12.0,control,0.4,non-BSA,COOH,22.0,7.0,7.0
12.0,control,0.4,non-BSA,COOH,4.0,16.0,9.0
12.0,control,0.4,non-BSA,COOH,26.0,8.0,7.0
21.5,magnet,0.4,non-BSA,PEG,6.0,9.0,6.0
21.5,magnet,0.4,non-BSA,PEG,3.0,6.0,6.0
21.5,magnet,0.4,non-BSA,PEG,1.0,7.0,4.0
21.5,magnet,0.4,non-BSA,COOH,15.0,14.0,13.0
21.5,magnet,0.4,non-BSA,COOH,5.0,13.0,11.0
21.5,magnet,0.4,non-BSA,COOH,13.0,13.0,8.0
21.5,control,0.4,non-BSA,PEG,17.0,7.0,7.0
21.5,control,0.4,non-BSA,PEG,3.0,5.0,5.0
21.5,control,0.4,non-BSA,PEG,24.0,8.0,6.0
21.5,control,0.4,non-BSA,COOH,25.0,6.0,6.0
21.5,control,0.4,non-BSA,COOH,6.0,12.0,7.0
21.5,control,0.4,non-BSA,COOH,16.0,8.0,7.0
0.0,magnet,0.6,BSA,PEG,5.0,5.0,7.0
0.0,magnet,0.6,BSA,PEG,1.0,6.0,6.0
0.0,magnet,0.6,BSA,PEG,9.0,7.0,7.0
